created_date,hashtags,num_hashtags,tweet_length,tweet_text,group,token_count,split_count,token_diff
2020-08-31 02:00:05,wearamask allinillinois,2,123,We all know we are supposed to #wearamask. Quit wasting taxpayer money running TV ads every five minutes! 😣😷 #allinillinois,promask,25,20,5
2020-08-31 01:59:05,WearAMask DarwinAwards,2,93,"Thanks for leading by example @DetroitFire

#WearAMask 
#DarwinAwards https://t.co/S4QjsUhdvK",promask,13,9,4
2020-08-31 01:58:31,WearAMask VMAs,2,117,"“#WearAMask😷. It’s a sign of respect.”
-@ladygaga at @MTV’s #VMAs

😷😷😷

YESSS!!!!!
Thank you. https://t.co/HuK1w50hJ2",promask,36,15,21
2020-08-31 01:56:17,WashYourHands,1,140,"The best way to protect the vulnerable is to try to protect everyone.

Well said @ScottGottliebMD 

👉#WashYourHands… https://t.co/F09JwE6kRK",promask,24,18,6
2020-08-31 01:55:44,WearAMask illustratio art,3,86,Are you just ever...so...tempted? #WearAMask #illustratio #art https://t.co/B1yy5NVtes,promask,16,8,8
2020-08-31 01:55:22,VMAs Vote WearAMask,3,117,MTV has no chill when it comes to getting people to vote and wear a mask and I am HERE👏FOR👏IT👏 #VMAs #Vote #WearAMask,promask,31,23,8
2020-08-31 01:55:21,,0,140,@realDonaldTrump DT you gather people without masks. You pretend there is a Pandemic BUT YOURSELF is getting tested… https://t.co/NQ2HyK4Cli,promask,21,19,2
2020-08-31 01:53:05,VMAs WearAMask,2,130,If Lady Gaga and Ariana can wear a mask while performing you can wear one to go shopping. #VMAs #WearAMask https://t.co/s1llxutkuR,promask,24,21,3
2020-08-31 01:52:32,WearAMask maskformask VMAs2020,3,137,Oh my gaga and ari!!!! @ladygaga @ArianaGrande you both killed it and slayed it #WearAMask #maskformask #VMAs2020 https://t.co/bmt4r79sfN,promask,25,18,7
2020-08-31 01:52:22,,0,131,I wish for you to think of three things that define who you are and take a moment to reward yourself. ❤️❤️… https://t.co/fFQA9ENXtp,promask,28,23,5
2020-08-31 01:52:06,WakeUp,1,140,"ARE YOU ALL GETTING IT YET?

#WakeUp !

WE ARE ALL BEING LIED TO
THEY ARE LAUGHING AT US
AT HOW EASY WE ARE TO CONT… https://t.co/p6eEaEGnqW",promask,34,27,7
2020-08-31 01:50:33,RwOT,1,143,"#RwOT If your glasses ""fog"" when you’re wearing your mask, it’s a sign that your mask does not fit well &amp; too much… https://t.co/OUmPor5R0K",promask,34,24,10
2020-08-31 01:50:16,publichealth pandemic,2,140,"Why is #publichealth being deliberately ignored during a #pandemic to mollify arrogant, selfish cynical spreaders w… https://t.co/DxrVC6NYW8",promask,21,17,4
2020-08-31 01:50:15,Biden WearAMask VMAs,3,76,"#Biden commercials, #WearAMask commercials, the #VMAs are coming for America",promask,15,10,5
2020-08-31 01:50:02,mask VMAs WearAMask,3,96,Awesome #mask -wearing example set by @ladygaga at the #VMAs  #WearAMask https://t.co/KToXnmdjwP,promask,16,12,4
2020-08-31 01:49:45,WearAMask,1,29,Lady Gaga. An Icon #WearAMask,promask,7,5,2
2020-08-31 01:49:35,WearAMask,1,42,"@FrankieJGrande WE HAVE TO STAN
#WearAMask",promask,8,6,2
2020-08-31 01:49:14,LadyGaga you wearamask,3,31,#LadyGaga #you rock! #wearamask,promask,8,4,4
2020-08-31 01:48:59,LadyGaga StaySafe SpeakYourMind WearAMask,4,111,"A Massive Triumph Of Courage ! 
#LadyGaga , #StaySafe #SpeakYourMind &amp; #WearAMask 😷 https://t.co/Ml01HRIkiZ",promask,21,14,7
2020-08-31 01:47:26,,0,140,@TrustysDC @theHillisHome @barredindc @CapitolHillBID Enjoyed my visit to @TrustysDC with friends on Saturday. Felt… https://t.co/6cdz8wLKMF,promask,17,15,2
2020-08-31 01:47:21,,0,139,"If Ariana Grande can hit that high note wearing a mask, you can wear one too! This performance, even in masks, was… https://t.co/95afHq8Yx2",promask,28,23,5
2020-08-31 01:46:59,VMAs2020,1,140,#VMAs2020 THANK YOU @ladygaga FOR SAYING “WEAR A MASK ITS A SIGN OF RESPECT”. WE NEED MORE POWERFUL PEOPLE IN POSIT… https://t.co/Gr0Se18VR8,promask,27,22,5
2020-08-31 01:46:39,WearAMask Respect VMAs,3,74,#WearAMask it’s a sign of #Respect @ladygaga #VMAs https://t.co/7tlbOjRqx9,promask,13,9,4
2020-08-31 01:46:22,BackToSchool WearAMask,2,129,Students start back tomorrow. We can do this if everyone follows the guidelines. #BackToSchool #WearAMask https://t.co/JGv7pJzXEp,promask,20,16,4
2020-08-31 01:46:12,Say Response Tea FAKEMarriage OwnYourTruth COVID19 WearAMask,7,132,"#Say what now 🤔#45 we waiting for a #Response on this #Tea.
#FAKEMarriage #OwnYourTruth #COVID19 #WearAMask… https://t.co/1VgDhTVA8E",promask,29,17,12
2020-08-31 01:45:50,WakeUp,1,140,"ARE YOU ALL GETTING IT YET?

#WakeUp !

WE ARE ALL BEING LIED TO
THEY ARE LAUGHING AT US
AT HOW EASY WE ARE TO CONT… https://t.co/16rXsMZvGl",promask,34,27,7
2020-08-31 01:45:46,respect WearAMask,2,92,R☆E☆S☆P☆E☆C☆T you heard from @ladygaga ! Wear a MASK! It's a sign up of #respect! #WearAMask,promask,33,16,17
2020-08-31 01:45:30,LadyGagaAwards LittleMonster WearAMask,3,115,This is not the VMAs this is the LGAs and I'm loving every second of it 😍 #LadyGagaAwards #LittleMonster #WearAMask,promask,24,20,4
2020-08-31 01:45:15,,0,140,"Was waiting for @ladygaga to drop her infamous quote until I remembered, 100 people aren’t allowed in one room thes… https://t.co/cy1eqIS99a",promask,24,21,3
2020-08-31 01:45:11,VMAs WearAMask,2,109,lady gaga said I am a tricon so I don’t care what none of y’all say. #VMAs #WearAMask https://t.co/CMa4Hla3Me,promask,24,19,5
2020-08-31 01:45:09,WearAMask VMAs2020,2,138,💎 if @ladygaga can pair masks to each of her outfits (and do it in style) so can all of us. 😷 #WearAMask #VMAs2020 https://t.co/ofkBKZlqX0,promask,30,25,5
2020-08-31 01:45:07,WearAMask VMAs,2,84,I absolutely could not love @ladygaga anymore than I do right now!! #WearAMask #VMAs,promask,18,14,4
2020-08-31 01:44:55,VMAs WearAMask,2,56,@ladygaga you deserve everythinnnnng! 😍 #VMAs #WearAMask,promask,10,7,3
2020-08-31 01:44:52,WearAMask,1,134,Stellar performance! Also. If they can wear masks doing THAT you can wear one throughout your day. #WearAMask… https://t.co/YURc9utAnk,promask,24,19,5
2020-08-31 01:44:51,WearAMask,1,77,I’ve reached a whole new level of respect for @ladygaga tonight !! #WearAMask,promask,16,13,3
2020-08-31 01:44:50,WearAMask LadyGaga,2,31,"Lady Gaga #WearAMask 
#LadyGaga",promask,7,4,3
2020-08-31 01:44:37,WearAMask itsasignofrespect,2,95,“The wrath of pop culture will inspire you” @ladygaga I love you! #WearAMask #itsasignofrespect,promask,19,14,5
2020-08-31 01:44:28,LadyGaga VMAs VMAs2020 TriconAward WearAMask,5,84,"Stunning 🤩
#LadyGaga #VMAs #VMAs2020 #TriconAward #WearAMask https://t.co/NqmCJFqJtv",promask,14,8,6
2020-08-31 01:44:16,WearAMask,1,33,#WearAMask it’s a sign of respect,promask,8,6,2
2020-08-31 01:44:15,speakyourmind wearamask itsasignofrespect VMAs,4,85,Love @ladygaga she is inspiring AF #speakyourmind #wearamask #itsasignofrespect #VMAs,promask,14,10,4
2020-08-31 01:43:31,WearAMask,1,117,"So @MTV decided to make this year's VMAs the Lady Gaga Awards.

Her mask game has been strong though lol 

#WearAMask",promask,26,21,5
2020-08-31 01:43:30,,0,139,@JustMe73forAll @thejtlewis No luck needed - the American people will vote.  I don't wish Trump luck BUT I do wish… https://t.co/p4xgfTOF3h,promask,25,21,4
2020-08-31 01:43:25,vma WearAMask VMAs2020 VMAs,4,103,Can we talk about @ladygaga ‘s amazing #vma outfit 😍 #WearAMask #VMAs2020 #VMAs https://t.co/Y8qc9edjj3,promask,18,14,4
2020-08-31 01:42:41,chronicillnesswarrior VMAs,2,138,So excited for fellow #chronicillnesswarrior @ladygaga for absolutely crushing her #VMAs performance tonight with… https://t.co/bNss2dGYWI,promask,18,15,3
2020-08-31 01:42:34,,0,140,"@davenewworld_2 “Take away my rights...” I’m so damn sick of hearing the same BS! So much negative energy. Oh well,… https://t.co/TfcMDb4lot",promask,29,21,8
2020-08-31 01:41:26,WearAMask,1,41,Facts. #WearAMask https://t.co/tPsE35rIf5,promask,5,3,2
2020-08-31 01:41:00,,0,139,"Interesting history lesson from @ExploreWellcome 
How the WWII British government got people to wear masks. (Hint:… https://t.co/pweR4ylJ7q",promask,22,17,5
2020-08-31 01:40:39,,0,140,"My brother is a very, very smart aerospace engineer and he tried teaching me about Schlieren imaging today. Unfortu… https://t.co/mE6gw9FFQE",promask,23,20,3
2020-08-31 01:40:12,WearAMask,1,93,Wear a damn mask.  It’s not like your rights are so infringed by wearing pants. 🩳😷 #WearAMask,promask,23,17,6
2020-08-31 01:39:52,Coronavirus CoronaVirusUpdates COVID19,3,131,"US Now Has 6 Million Coronavirus Cases Confirmed!

Wear A Mask!

#Coronavirus #CoronaVirusUpdates #COVID19… https://t.co/aXGZZNSMiW",promask,23,15,8
2020-08-31 01:39:44,,0,140,"plsssss wear a fxcking mask yall there are so many people dying, and idk if yall have lost someone, and i feel if y… https://t.co/zopfe3CcQw",promask,30,25,5
2020-08-31 01:39:39,,0,137,If it’s possible to belt out those high notes and dance like crazy the way @ArianaGrande and @ladygaga did @ the… https://t.co/MJXxfLO6mD,promask,24,22,2
2020-08-31 01:38:02,,0,143,"Latest: 25,378,371 confirmed cases &amp; 850,163 deaths
90 countries with 10,000+, 30 with 100,000+, 19 with 250,000+,… https://t.co/TI8AV5LJyf",promask,29,18,11
2020-08-31 01:37:29,VMAs,1,140,"I'm sorry, but for any anti-maskers out there, if ALL the backup dancers at the #VMAs can wear masks for all the pe… https://t.co/ZNeW3wJRbG",promask,31,24,7
2020-08-31 01:34:08,,0,140,"or Chinese for now. Nonetheless we can remodel into any other language of your choice. 

Looking forward to hearing… https://t.co/JK3FWnJQhx",promask,24,20,4
2020-08-31 01:33:55,,0,140,"First time in weeks that it wasn’t over 100°F when I’ve got home from work, so I had to go for a walk, and yes, I k… https://t.co/fHiF30712C",promask,36,28,8
2020-08-31 01:33:53,COVID19,1,140,Your 8/30 GA #COVID19 report is up! Today includes special commentary on reduced testing and the misleading data in… https://t.co/MbWvIZ41sN,promask,23,20,3
2020-08-31 01:33:22,,0,140,"You can wear a mask while you bike.
You can wear a mask on a hike.
You can wear a mask when you run.
You can wear a… https://t.co/MzxvsHmDp5",promask,36,29,7
2020-08-31 01:31:50,,0,140,Female account loaded with deluxos and properties plus much more ! Have a female starter account too ready and taki… https://t.co/xAvor7knsf,promask,22,21,1
2020-08-31 01:30:51,bunny myphoto photography wildlife wildlifephotography nature,6,130,"Tiny #bunny, looking out at the big world. 😊
#myphoto #photography #wildlife #wildlifephotography #nature… https://t.co/TP5klCuxkd",promask,25,15,10
2020-08-31 01:30:48,,0,140,@MichaelRapaport Here’s what you need to know-100% of these patients died from COVID. 6% didn’t have any underlying… https://t.co/MpYLIcoSye,promask,25,19,6
2020-08-31 01:30:45,,0,140,So disappointing to see so many celebs at an event not wearing masks. This was an opportunity to educate and inspir… https://t.co/DNWYPUEO55,promask,24,22,2
2020-08-31 01:30:45,LadyGaga WearAMask,2,99,"If #LadyGaga can wear a mask and still do THIS, you can too. 

#WearAMask 😷 https://t.co/na20TDISnA",promask,21,16,5
2020-08-31 01:30:04,WearAMask,1,74,@ladygaga send the message to everyone from her VMA performance #WearAMask,promask,12,11,1
2020-08-31 01:29:59,WearAMask,1,105,"Zillennials in #2019: ""my diet consists entirely of eating ASSSS""

Zillennials in #2020: ""OMG #WearAMask""",promask,25,15,10
2020-08-31 01:28:55,,0,143,"If @ladygaga &amp; her team can completely slay ALL of this with a mask on, we all have zero excuse to not wear one at… https://t.co/eqm9cGk7T9",promask,30,26,4
2020-08-31 01:28:31,WearAMask,1,68,I'm outta here for now Tweeps. Take care &amp; stay safe! #WearAMask,promask,18,12,6
2020-08-31 01:28:17,RainOnMeVMAs WearAMask,2,140,Love @ladygaga #RainOnMeVMAs with @ArianaGrande #WearAMask if they can sing incredibly with them on then u can wear… https://t.co/FYsITefXPD,promask,22,19,3
2020-08-31 01:27:58,,0,106,If gaga can wear a mask. So can you. My Performance link: https://t.co/yISRK29EVF… https://t.co/u3MWBwtsLJ,promask,18,14,4
2020-08-31 01:27:52,,0,140,If @ladygaga and @ArianaGrande and all the dancers at the VMAs can wear a mask and go full out on a performance the… https://t.co/BD0FNscmaW,promask,25,24,1
2020-08-31 01:27:20,WearAMask,1,54,Love a bit of Gaga. #WearAMask https://t.co/j4MiR8efHh,promask,9,7,2
2020-08-31 01:26:59,WearAMask,1,140,"If Lady Gaga can sing and dance her way through three songs in a mask, you can wear one at the grocery!

#WearAMask… https://t.co/BYUqQ53vU7",promask,29,24,5
2020-08-31 01:26:40,,0,138,I’ve seen @ladygaga up close and live multiple times. She NEVER upsets. WOW. Great performance with @ArianaGrande… https://t.co/iU3goAmddV,promask,23,18,5
2020-08-31 01:24:24,,0,140,"Thank you @ladygaga for using your platform to push for mask wearing! Also, if you are not wearing a mask, you’re n… https://t.co/LePM2wrxJW",promask,28,23,5
2020-08-31 01:24:08,StayHomeStaySafe WearAMask,2,139,"The essential workers clips of these brave, amazing workers singing and dancing &lt;3 #StayHomeStaySafe #WearAMask… https://t.co/xtX8XeuvVt",promask,21,16,5
2020-08-31 01:23:36,WakeUp,1,139,"YOU ARE BEING LIED TO

YOU ARE BEING PLAYED

ARE YOU ALL GETTING IT YET?

#WakeUp !

WE ARE ALL BEING LIED TO
THEY… https://t.co/rGW8Od2m8t",promask,34,25,9
2020-08-31 01:23:22,,0,140,"if @ArianaGrande and @ladygaga can wear a mask while singing and dancing, y’all can sure as hell wear a mask when g… https://t.co/lhoXnaMwSX",promask,26,23,3
2020-08-31 01:23:07,WearAMask,1,47,THAT PART 🙏🏽 #WearAMask https://t.co/KzbLIh0joG,promask,7,5,2
2020-08-31 01:23:04,,0,127,"I wear my mask for physicians, nurses and healthcare workers risking their lives to save others — like… https://t.co/zhkoBRFp0o",promask,21,19,2
2020-08-31 01:22:52,WearAMask maskformask VMAs2020,3,104,"WHERE DO I GET 50 OF THOSE MASKS?!?

#WearAMask #maskformask #VMAs2020 @ladygaga https://t.co/c10uUFARdo",promask,20,13,7
2020-08-31 01:22:49,IndieAuthor amwriting WritingCommunity WearAMask,4,140,".@EFranz2 @Ally2IndieFilm @mariadrawss
https://t.co/t2o5gKOEXm
#IndieAuthor #amwriting #WritingCommunity #WearAMask… https://t.co/NEznj404bW",promask,16,9,7
2020-08-31 01:22:29,,0,140,"Wear your mask even when you're outdoors ladies and gentlemen, this virus is airborne and it mutates rapidly so ple… https://t.co/CX57vWmjLa",promask,24,21,3
2020-08-31 01:22:14,WearAMask MaskChallenge,2,148,Good to see @USEmbassyNepal &amp; @USAmbNepal promoting #WearAMask &amp; #MaskChallenge even when Trump refuses to wear one… https://t.co/qldtqv3tj2,promask,25,18,7
2020-08-31 01:21:28,,0,140,"If @ladygaga and @ArianaGrande can perform and sing in mask for 8 minutes straight, then you can wear one for 5 min… https://t.co/ii4wh3fXnk",promask,25,23,2
2020-08-31 01:21:18,WearAMask,1,103,"They even wear mask while performing, why can't you when going out?

#WearAMask https://t.co/Of5GRX5mOq",promask,19,14,5
2020-08-31 01:20:58,VMAs2020 mothermonster pawsup wearamask,4,88,GAGA ❤️❤️❤️ #VMAs2020 Artist of the Year!!!! #mothermonster @ladygaga #pawsup #wearamask,promask,24,11,13
2020-08-31 01:20:43,StayAtHome WearAMask,2,85,@MarkWarnerVA #StayAtHome #WearAMask covid19hoax nomasknofear https://t.co/38B4Utvkgq,promask,8,6,2
2020-08-31 01:20:34,wearamask,1,140,"Also, @ladygaga wearing a mask through her performance and her speeches, I Stan a queen like her!!! #wearamask when… https://t.co/BigMsgFEbk",promask,27,20,7
2020-08-31 01:20:30,Fascist WakeUp,2,140,"#Fascist ENOUGH FOR YOU ALL YET?

#WakeUp !

WE ARE ALL BEING LIED TO
THEY ARE LAUGHING AT US
AT HOW EASY WE ARE TO… https://t.co/zFGEIeQV2s",promask,34,26,8
2020-08-31 01:20:15,VMAs WearAMask,2,84,🤍 this look. @ladygaga 💎 and LOVE HER MASK! #VMAs #WearAMask https://t.co/ZudXPcmiWy,promask,16,12,4
2020-08-31 01:20:00,,0,140,"@realDonaldTrump your polling numbers as of August 30.
6,173,236+ cases (worrying)
187,224+ deceased (Nov.3)
Update… https://t.co/pBgf80zaAc",promask,27,16,11
2020-08-31 01:19:52,,0,139,"Had to step out of the house tonight to break up a proper brawl between two groups of youths, that had spilled out… https://t.co/dBv3YiAJDR",promask,26,24,2
2020-08-31 01:18:52,coronavirus,1,139,"@BBCWorld India, the world's third-most infected, on Sunday 30-Aug-2020, reported 78,761 new #coronavirus cases in… https://t.co/atsH4NMTyD",promask,26,16,10
2020-08-31 01:18:13,,0,140,"if lady gaga and ariana grande can put on one of the best live performances of 2020 with face masks, i’m sure u can… https://t.co/qPRMk8Wjrh",promask,28,25,3
2020-08-31 01:17:45,,0,139,"Still seeing too many people w/out masks in stores, even after mask mandates. Please, respect the employees of the… https://t.co/T8Rn48Me6D",promask,26,20,6
2020-08-31 01:17:32,,0,135,"“I wear a mask to keep my patients safe.” -Dr. Greg Armstrong, Epidemiology &amp; Cancer Control. 
Learn more:… https://t.co/Tejk7W3V9W",promask,30,19,11
2020-08-31 01:17:27,,0,140,Seeing @ArianaGrande and @ladygaga in masks singing was a lil weird but this is the future. And they. Did. That. In… https://t.co/05Rw5x9oHW,promask,27,22,5
2020-08-31 01:17:01,WearAMask MTVVMAs,2,106,Agree!  I love that @ladygaga performance was all while they #WearAMask #MTVVMAs 😷 https://t.co/ObzdJlGXBT,promask,18,14,4
2020-08-31 01:14:07,truthbomb thoughtoftheday InItTogether,3,136,"Day #159 of @DanielleLaPorte #truthbomb

""Seeing the futility is so liberating""

#thoughtoftheday #InItTogether… https://t.co/ICds3VzcuF",promask,23,14,9
2020-08-31 01:13:44,mask ladygaga vmas wearamask neon digital,6,110,"Now that’s a #mask #ladygaga #vmas #wearamask #neon #digital ⚡️ 😷 @ New York, New York https://t.co/FK9PPGqZ7x",promask,26,17,9
2020-08-31 01:13:16,wearamask,1,65,#wearamask on PT even on the Mainland 😷👍🏻 https://t.co/GXJBvwhPsj,promask,12,9,3
2020-08-31 01:13:07,WearAMask,1,125,"Ariana Grande &amp; Lady Gaga 
💜💜💜💜💜💜💜💜💜💜
     🤍🤍🤍🤍🤍🤍🤍🤍
               ✨✨✨✨
              #WearAMask… https://t.co/ZAPEbUC76d",promask,30,10,20
2020-08-31 01:12:57,WearAMask VMAs,2,103,Gaga and Ari said they ain’t finna with y’all in this pandemic #WearAMask #VMAs https://t.co/ovgWRwqHrW,promask,19,15,4
2020-08-31 01:10:51,WearAMask SocialDistance WashYourHands Vaccine,4,139,#WearAMask #SocialDistance #WashYourHands. We may need to do all of these things even when the first safe #Vaccine… https://t.co/1jN2qGfZDm,promask,25,19,6
2020-08-31 01:10:14,,0,139,I DON'T WANT TO HEAR NOBODY COMPLAINING THEY CAN'T BREATHE IN A MASK AGAIN! @ladygaga out here singing and dancing… https://t.co/QqtGG0gvQW,promask,23,21,2
2020-08-31 01:10:03,COVID19 TrumpVirus,2,137,I can remember when Americans cared about the well being of other Americans. WEAR A MASK! - #COVID19 #TrumpVirus… https://t.co/AVizt4Pyoi,promask,25,20,5
2020-08-31 01:09:23,,0,143,via @NYTimes Way to go tRumps America! Still doing a great job rallying all over the states &amp; continuing to spread… https://t.co/uFLPOaMezt,promask,26,22,4
2020-08-31 01:09:16,VMAs VMA WearAMask,3,100,"If @ladygaga can perform in a mask, you can wear one in public. Just saying... #VMAs #VMA #WearAMask",promask,24,18,6
2020-08-31 01:09:08,,0,140,"If @ArianaGrande and @ladygaga can wear masks while performing on the VMAs, you can wear a mask to go to the store.… https://t.co/ZDgnHjlGWG",promask,26,23,3
2020-08-31 01:08:27,WearAMask LadyGaga,2,116,Lady gaga is dancing and hiting high notes while wearing a mask. Karen’s aint got no excuse now #WearAMask #LadyGaga,promask,25,20,5
2020-08-31 01:08:25,Vmas WearAMask,2,89,She is giving us a concert 😭 can’t wait to see her live again @ladygaga #Vmas  #WearAMask,promask,21,17,4
2020-08-31 01:07:59,,0,140,"If Gaga and Ari can do THAT in a mask, you can WEAR A MASK doing whatever it is you might be doing in your mediocre… https://t.co/SyLfV3S3EX",promask,29,27,2
2020-08-31 01:07:59,WearAMask StupidLove,2,74,MY 👏 QUEEN 👏 CANT 👏 BE 👏 BEAT! PREACH IT MOMMA!! #WearAMask #StupidLove 💖🚀,promask,21,15,6
2020-08-31 01:07:53,VMAs2020 WearAMask,2,139,"Basically if @ladygaga can wear a mask for that entire performance, you can wear one going about your daily routine. #VMAs2020. #WearAMask.",promask,28,22,6
2020-08-31 01:07:44,WearAMaskMAGA WearAMask MAGA,3,98,"#WearAMaskMAGA #WearAMask 

We care about you too even tho 🙄 

#MAGA 👇👇👇👇👇 https://t.co/HRejddmw47",promask,22,13,9
2020-08-31 01:07:26,,0,140,"@clooney_rob Greetings! I handcraft reusable, washable facemasks that have a nose wire for proper fit and filter po… https://t.co/Dse3R6tddA",promask,22,19,3
2020-08-31 01:07:20,WearAMask VMAs VMA,3,115,Gaga’s vocals give me LIFE! 😍 She said “love yourself” and “mask up!” #WearAMask #VMAs #VMA https://t.co/KKl4cCjOml,promask,27,17,10
2020-08-31 01:07:13,,0,139,"@davenewworld_2 Mental illness impacts public health and safety at times. 

This guy is mentally unwell. 

Reality… https://t.co/OTtMTlrPVX",promask,22,17,5
2020-08-31 01:07:01,VMAs2020 LadyGaga WearAMask MaskUp,4,87,This woman is my idol....#VMAs2020 #LadyGaga #WearAMask #MaskUp https://t.co/7VcoBB7VK4,promask,14,9,5
2020-08-31 01:06:49,,0,126,"YES to @ladygaga, @ArianaGrande, and all their dancers for wearing masks WHILE DANCING AND SINGING!!!… https://t.co/hxyFO8z8kC",promask,22,16,6
2020-08-31 01:06:38,WearAMask,1,120,IF @ArianaGrande &amp; @ladygaga CAN DO A WHOLE ASS PERFORMANCE WEARING MASKS YOU CAN WEAR A MASK TO WALLMART #WearAMask,promask,23,20,3
2020-08-31 01:06:36,wearamask COVID19nz americaninnewzealand,3,136,"Some positivity towards wearing masks during these pandemic times.  #wearamask #COVID19nz #americaninnewzealand 
https://t.co/NwCJATvTAn",promask,19,13,6
2020-08-31 01:06:31,,0,140,@AreMond2 These anti-maskers are super spreaders with their yelling and verbal constant vomit. Just keep your mouth… https://t.co/1aeMYYJFyJ,promask,22,18,4
2020-08-31 01:05:39,VMAs WearAMask,2,141,"If Ariana &amp; Lady Gaga can wear a mask while dancing and singing on stage.... you can wear a mask in the grocery story. 

#VMAs #WearAMask",promask,33,26,7
2020-08-31 01:05:11,VMAs WearAMask,2,127,LOVE LOVE LOVE HOW @ladygaga kept a mask on everytime she went on the stage WAY TO KEEP IT REAL😍💯🎶 😷!!!! #VMAs #WearAMask @vmas,promask,33,24,9
2020-08-31 01:04:51,VMAs VMAs2020 WearAMask,3,129,"If the performers can wear masks to sing and dance, you can wear one to pick up chips at the store.... #VMAs #VMAs2020 #WearAMask",promask,29,24,5
2020-08-31 01:04:34,,0,140,"if ariana grande can bust out a whistle note while dancing vigorously in a mask, then you can wear a mask for 8 min… https://t.co/IsUK4BSjdE",promask,27,25,2
2020-08-31 01:04:33,VMAs WearAMask,2,53,Props to the #VMAs #WearAMask https://t.co/4o4yPfIQGp,promask,8,6,2
2020-08-31 01:04:19,WearAMask,1,126,If gaga and grande can do a whole ass dance routine in masks the least you can do is wear one yourself when outside #WearAMask,promask,26,25,1
2020-08-31 01:03:09,wearamask,1,112,Lady Gaga DANCING while #wearamask and singing and might i add awesome high heeled boots https://t.co/YWCqvsMRfr,promask,17,16,1
2020-08-31 01:02:24,LadyGaga vmas WearAMask,3,112,Living for #LadyGaga’s dedication to COVID-19 safety this awards season #vmas #WearAMask https://t.co/G6F0QCFRGI,promask,17,13,4
2020-08-31 01:02:10,WearAMask,1,49,We need more Lady Gaga’s in this world #WearAMask,promask,11,9,2
2020-08-31 01:01:28,covidisreal,1,41,@MagdaSzubanski Love the ad! #covidisreal,promask,7,5,2
